Row Aluminum_Area_m2 Strand Layers_Of_Aluminum Outside_Diameter_m DC_Resistance_20C_ohm_per_m AC_50Hz_Resistance_20C_ohm_per_m GMR_m
Waxwing 0.0001351895553972 18/1 2 0.0154686 0.00021194225754 0.0002167342717696 0.00603504
Ostrich 0.0001520122437 26/7 2 0.017272 0.00018667979031 0.000190760955944 0.00697992
Linnet 0.0001704563959356 26/7 2 0.0183134 0.00016633858293 0.0001700692952504 0.00740664
Ibis 0.0002014162229025 26/7 2 0.0198882 0.0001410761157 0.0001443445279016 0.00804672
Hawk 0.000241699467483 26/7 2 0.0217932 0.00011712598443 0.0001199867771752 0.00880872
Dove 0.0002819827120635 26/7 2 0.0235458 0.00010072178493 0.0001033340292296 0.00957072
Rook 0.000322265956644 24/7 2 0.0248158 8.825459331e-05 9.07823311512e-05 0.00996696
Drake 0.000402832445805 26/7 2 0.0281432 7.053805785e-05 7.28247037024e-05 0.01136904
Rail 0.000483398934966 45/7 3 0.029591 5.938320219e-05 6.19507078424e-05 0.01176528
Cardinal 0.000483398934966 54/7 3 0.0303784 5.90551182e-05 6.13914737696e-05 0.01225296
Bluejay 0.000563965424127 45/7 3 0.0319786 5.085301845e-05 5.35000596312e-05 0.0126492
Pheasant 0.000644531913288 54/19 3 0.0351028 4.429133865e-05 4.66649765192e-05 0.01420368
Plover 0.000725098402449 54/19 3 0.037211 3.93700788e-05 4.18182812216e-05 0.01505712
Falcon 0.00080566489161 54/19 3 0.039243 3.543307092e-05 3.80279169504e-05 0.01594104
Bluebird 0.001092461324724 84/19 4 0.0447548 2.62467192e-05 2.95772687392e-05 0.01786128
